Team,Wins,Losses,PCT,RS,RA,DIF,X-W/L
"Los Angeles Dodgers
z",98,64,.605,842,686,+156,96-66
"Philadelphia Phillies
y",95,67,.586,784,671,+113,92-70
"New York Yankees
z",94,68,.580,815,668,+147,96-66
"Milwaukee Brewers
y",93,69,.574,777,641,+136,95-67
"San Diego Padres
w",93,69,.574,760,669,+91,90-72
"Cleveland Guardians
y",92,69,.571,708,621,+87,90-71
"Baltimore Orioles
w",91,71,.562,786,699,+87,90-72
Arizona Diamondbacks,89,73,.549,886,788,+98,90-72
"Atlanta Braves
w",89,73,.549,704,607,+97,92-70
"New York Mets
w",89,73,.549,768,697,+71,88-74
"Houston Astros
y",88,73,.547,740,649,+91,90-71
"Detroit Tigers
w",86,76,.531,682,642,+40,85-77
"Kansas City Royals
w",86,76,.531,735,644,+91,91-71
Seattle Mariners,85,77,.525,676,607,+69,89-73
Chicago Cubs,83,79,.512,736,669,+67,88-74
St. Louis Cardinals,83,79,.512,672,719,-47,76-86
Minnesota Twins,82,80,.506,742,735,+7,82-80
Boston Red Sox,81,81,.500,751,747,+4,81-81
San Francisco Giants,80,82,.494,693,699,-6,80-82
Tampa Bay Rays,80,82,.494,604,663,-59,74-88
Texas Rangers,78,84,.481,683,738,-55,75-87
Cincinnati Reds,77,85,.475,699,694,+5,82-80
Pittsburgh Pirates,76,86,.469,665,739,-74,73-89
Toronto Blue Jays,74,88,.457,671,743,-72,73-89
Washington Nationals,71,91,.438,660,764,-104,70-92
Oakland Athletics,69,93,.426,643,764,-121,68-94
Los Angeles Angels,63,99,.389,635,797,-162,64-98
Miami Marlins,62,100,.383,637,841,-204,61-101
Colorado Rockies,61,101,.377,682,929,-247,59-103
Chicago White Sox,41,121,.253,507,813,-306,48-114
